StockCode,TotalQuantity,AverageDailyDemand,DemandStd,SafetyStock,ReorderPoint,CurrentStock,RecommendedReorderQty,Recommendation
10002,7796,45.858823529411765,104.71687983169025,457.14045647372467,778.1522211796071,137.57647058823528,640.5757505913718,REORDER
10080,12,2.4,2.1908902300206643,9.564308652485028,26.36430865248503,7.199999999999999,19.16430865248503,REORDER
10109,4,4.0,0.0,0.0,28.0,12.0,16.0,REORDER
10120,471,14.272727272727273,14.543625595240874,63.49004720229778,163.39913811138868,42.81818181818182,120.58095629320687,REORDER
10123C,624,15.6,34.37336476297025,150.0565685640944,259.2565685640944,46.8,212.45656856409437,REORDER
10123G,2246,204.1818181818182,444.8981497335807,1942.1982738639222,3371.4710011366496,612.5454545454545,2758.925546591195,REORDER
10124A,46,3.2857142857142856,2.1277858274442303,9.288827035331623,32.28882703533162,9.857142857142858,22.431684178188764,REORDER
10124G,20,3.3333333333333335,1.632993161855452,7.128814768248646,30.46214810158198,10.0,20.46214810158198,REORDER
10125,788,14.867924528301886,12.148183998266283,53.03277167177039,157.1082433698836,44.60377358490566,112.50446978497794,REORDER
10133,967,13.246575342465754,18.763721513955396,81.91283231339729,174.63885971065758,39.73972602739726,134.89913368326032,REORDER
10134,612,14.926829268292684,35.727013759830555,155.9659092675657,260.4537141456145,44.78048780487805,215.67322634073648,REORDER
10135,1982,18.523364485981308,68.01738759308931,296.9292024593474,426.5927538612165,55.570093457943926,371.0226604032726,REORDER
10138,247,17.642857142857142,23.886291990489966,104.27536077801226,227.77536077801227,52.92857142857143,174.84678934944083,REORDER
11001,3070,32.31578947368421,71.25131774188607,311.04689109561343,537.2574174114029,96.94736842105263,440.3100489903503,REORDER
15030,111,7.928571428571429,3.292515655340053,14.373443059497449,69.87344305949745,23.785714285714285,46.08772877378316,REORDER
15034,3425,46.28378378378378,61.68801759056599,269.29840313840555,593.284889624892,138.85135135135135,454.43353827354065,REORDER
15036,19202,115.67469879518072,200.27690578879276,874.3067620099855,1684.0296535762504,347.0240963855422,1337.0055571907083,REORDER
15039,2603,30.267441860465116,58.204391267246294,254.0906684333049,465.9627614565607,90.80232558139535,375.1604358751654,REORDER
15044A,4472,49.142857142857146,367.264741673075,1603.2904334524048,1947.2904334524048,147.42857142857144,1799.8618620238335,REORDER
15044B,1319,15.337209302325581,56.39683146400343,246.19978479653008,353.5602499128091,46.01162790697674,307.5486220058324,REORDER
15044C,592,6.804597701149425,10.481255783606752,45.755813781283464,93.38799768932944,20.413793103448274,72.97420458588117,REORDER
15044D,915,10.054945054945055,15.6264466973729,68.21709153081123,138.60170691542663,30.164835164835164,108.43687175059146,REORDER
15056BL,6663,28.844155844155843,81.24596015670136,354.6783992454353,556.5874901545262,86.53246753246754,470.0550226220587,REORDER
15056N,7201,31.583333333333332,75.61155706906334,330.08147080773057,551.1648041410639,94.75,456.4148041410639,REORDER
15056P,1722,12.850746268656716,53.32571322699975,232.79284987825181,322.7480737588488,38.55223880597015,284.19583495287867,REORDER
15058A,271,6.4523809523809526,7.2286772428020285,31.55671578247029,76.72338244913696,19.357142857142858,57.3662395919941,REORDER
15058B,186,4.65,5.289321608384489,23.090478807042125,55.64047880704213,13.950000000000001,41.690478807042126,REORDER
15058C,220,5.7894736842105265,7.006398213898579,30.586358979433573,71.11267476890725,17.36842105263158,53.74425371627568,REORDER
15059A,505,505.0,0.0,0.0,3535.0,1515.0,2020.0,REORDER
15060B,744,5.552238805970149,6.398504482433052,27.932605178362348,66.79827682015339,16.65671641791045,50.141560402242945,REORDER
16008,251,16.733333333333334,11.87113345573242,51.82331039213918,168.95664372547253,50.2,118.75664372547253,REORDER
16010,14,7.0,7.0710678118654755,30.86867344088502,79.86867344088502,21.0,58.86867344088502,REORDER
16011,2109,34.016129032258064,30.40733945886559,132.74292609481148,370.85582932061794,102.04838709677419,268.80744222384374,REORDER
16012,1681,38.20454545454545,40.699454053509115,177.67304597077992,445.1048641525981,114.61363636363636,330.49122778896174,REORDER
16014,17041,415.6341463414634,861.5517615354738,3761.095309343604,6670.534333733848,1246.9024390243903,5423.631894709458,REORDER
16015,911,23.973684210526315,27.502812477414963,120.06324358063895,287.87903305432314,71.92105263157895,215.95798042274419,REORDER
16016,1058,25.19047619047619,44.425458585133576,193.9388802388337,370.272213572167,75.57142857142857,294.70078500073845,REORDER
16020C,76,3.619047619047619,3.8141341150540375,16.650563053542662,41.983896386876,10.857142857142858,31.12675352973314,REORDER
16033,14161,345.390243902439,592.2526858549811,2585.4729781358633,5003.204685452936,1036.170731707317,3967.0339537456193,REORDER
16043,2044,204.4,398.3706258693725,1739.0828493777976,3169.8828493777974,613.2,2556.6828493777975,REORDER
16044,6192,3096.0,4310.522938113194,18817.543329563505,40489.5433295635,9288.0,31201.5433295635,REORDER
16045,400,100.0,0.0,0.0,700.0,300.0,400.0,REORDER
16046,9886,318.9032258064516,1145.5378461619014,5000.833626288981,7233.156206934142,956.7096774193548,6276.446529514787,REORDER
16047,10587,504.14285714285717,1555.930791703612,6792.399787924736,10321.399787924736,1512.4285714285716,8808.971216496164,REORDER
16048,1977,98.85,189.99675204980133,829.4288571257301,1521.37885712573,296.54999999999995,1224.82885712573,REORDER
16049,2640,138.94736842105263,169.4374593517589,739.6774773685594,1712.3090563159278,416.8421052631579,1295.46695105277,REORDER
16050,122,30.5,23.9513395589196,104.55932526561179,318.0593252656118,91.5,226.5593252656118,REORDER
16051,938,312.6666666666667,479.2007234273894,2091.945804747341,4280.612471414008,938.0,3342.612471414008,REORDER
16052,343,22.866666666666667,6.243472782110319,27.255815893126368,187.32248255979303,68.6,118.72248255979304,REORDER
16053,4298,537.25,902.8291643494908,3941.291384654273,7702.041384654272,1611.75,6090.291384654272,REORDER
16054,39,9.75,17.5,76.39606910699005,144.64606910699007,29.25,115.39606910699007,REORDER
16119,271,45.166666666666664,61.60005411253035,268.9143994842969,585.0810661509636,135.5,449.5810661509636,REORDER
16151A,3,1.5,0.7071067811865476,3.0868673440885015,13.586867344088501,4.5,9.086867344088501,REORDER
16156L,475,27.941176470588236,8.302639551938395,36.245087141732256,231.8333224358499,83.82352941176471,148.00979302408518,REORDER
16156N,1450,30.851063829787233,11.901733018500424,51.95689246710307,267.9143392756137,92.5531914893617,175.36114778625202,REORDER
16156S,10886,67.19753086419753,86.54111430941475,377.79433996445573,848.1770560138384,201.5925925925926,646.5844634212458,REORDER
16161C,450,225.0,176.7766952966369,771.7168360221253,2346.7168360221253,675.0,1671.7168360221253,REORDER
16161E,750,107.14285714285714,185.24436884957174,808.6823773892937,1558.6823773892938,321.42857142857144,1237.2538059607223,REORDER
16161G,275,25.0,0.0,0.0,175.0,75.0,100.0,REORDER
16161M,1050,28.37837837837838,10.478420553561367,45.743436613827384,244.39208526247603,85.13513513513513,159.2569501273409,REORDER
16161P,6022,48.959349593495936,45.136477628280396,197.0428265220697,539.7582736765413,146.8780487804878,392.8802248960535,REORDER
16161U,5976,43.30434782608695,60.33297009288121,263.382957294041,566.5133920766497,129.91304347826087,436.6003485983888,REORDER
16162L,8066,806.6,1550.655216352107,6769.369318260009,12415.569318260008,2419.8,9995.769318260009,REORDER
16162M,60,12.0,0.0,0.0,84.0,36.0,48.0,REORDER
16168M,1273,38.57575757575758,62.53600478076125,273.00028245177697,543.03058548208,115.72727272727273,427.3033127548073,REORDER
16168S,1274,212.33333333333334,259.3666645246969,1132.2624929759,2618.5958263092334,637.0,1981.5958263092334,REORDER
16169A,25,25.0,0.0,0.0,175.0,75.0,100.0,REORDER
16169C,1350,42.1875,27.995895436480016,122.2157921415654,417.52829214156543,126.5625,290.96579214156543,REORDER
16169D,250,50.0,25.0,109.13724158141437,459.1372415814144,150.0,309.1372415814144,REORDER
16169F,975,37.5,17.67766952966369,77.17168360221255,339.67168360221257,112.5,227.17168360221257,REORDER
16169G,25,25.0,0.0,0.0,175.0,75.0,100.0,REORDER
16169K,1875,41.666666666666664,74.81036632105814,326.5838808790171,618.2505475456837,125.0,493.25054754568373,REORDER
16169M,1400,48.275862068965516,87.60988877311418,382.46006383808816,720.3910983208468,144.82758620689654,575.5635121139503,REORDER
16169N,2025,41.326530612244895,78.48683216393212,342.63345451339933,631.9191687991135,123.97959183673468,507.93957696237885,REORDER
16169P,1700,38.63636363636363,71.620476125357,312.65844820276027,583.1129936573057,115.9090909090909,467.2039027482148,REORDER
16201A,100,16.666666666666668,11.587349423689037,50.584454133656514,167.25112080032318,50.0,117.25112080032318,REORDER
16201B,24,24.0,0.0,0.0,168.0,72.0,96.0,REORDER
16202A,653,38.411764705882355,98.54507777124728,430.1975183751953,699.0798713163717,115.23529411764707,583.8445771987247,REORDER
16202B,1005,62.8125,149.05042491273437,650.678089260542,1090.365589260542,188.4375,901.928089260542,REORDER
